title,author,description,coverColor,category
三体,刘慈欣,中国作家刘慈欣创作的长篇科幻小说，讲述了人类与外星文明"三体"之间的接触与博弈。该书荣获2006年度中国科幻银河奖特别奖，并于2015年获得雨果奖最佳长篇小说奖。,#1e5a4a,科幻
百年孤独,加西亚·马尔克斯,魔幻现实主义文学的代表作，讲述了布恩迪亚家族七代人的传奇故事，反映了拉丁美洲一个世纪以来风云变幻的历史。,#2d7a6b,文学
活着,余华,余华的代表作，讲述了在大时代背景下，随着内战、三反五反、大跃进、文化大革命等社会变革，主人公福贵的人生和家庭不断经受苦难的故事。,#8b6f47,文学
1984,乔治·奥威尔,反乌托邦小说经典，描绘了一个极权主义社会的恐怖景象，探讨了权力、自由和真理的主题，对后世影响深远。,#1e5a4a,文学
平凡的世界,路遥,以孙少平和孙少安兄弟的生活为主线，展现了20世纪70年代到80年代中国农村的社会变迁，是一部现实主义力作。,#5a4a3a,文学
追风筝的人,卡勒德·胡赛尼,讲述了一个关于友谊、背叛和救赎的故事，背景设定在阿富汗，展现了人性的复杂和战争的残酷。,#1e5a4a,文学
西游八十一案：长安击壤歌,陈渐,将《西游记》中的九九八十一难重新演绎为八十一案的历史悬疑小说。2022年连续登上日本"这本推理了不起""周刊文春推理小说Best10"两大权威推理榜单，代表中国小说首次入围"日本推理作家协会奖"。讲述玄奘回到长安后，面对的一系列悬案，从"降妖除魔"取经到"惩恶缉凶"探案。,#8b6f47,悬疑
西游八十一案：大唐敦煌变,陈渐,贞观三年，玄奘扮作流民从长安逃出，意欲西游，不料一入凉州就遭到官府缉拿。有人告知玄奘，敦煌有一条隐秘古道可直通西域。然而在去的路上，追兵、杀手、间谍接踵而至，玄奘一路逃亡，辗转于沙漠与绿洲之间，从敦煌城到玉门关，攀崖壁、入佛洞，居然触碰到整个敦煌的禁忌：一个牵扯突厥、粟特、吐火罗、波斯、吐谷浑四方多国，足以令丝绸之路断绝的惊天奇局。,#5a4a3a,悬疑
西游八十一案：大唐泥犁狱,陈渐,《西游八十一案》系列的开篇之作，将《西游记》中的九九八十一难重新演绎为八十一案。讲述玄奘西行路上的第一案，融合历史、悬疑、推理元素，展现取经路上的罪案现场。妖魔鬼怪一一现出人形，名著《西游记》焕发新奇光彩。,#1e5a4a,悬疑
西游八十一案：西域列王纪,陈渐,《西游八十一案》系列作品，由爱奇艺+万达影业联手改编为影视剧《四方馆》，檀健次主演。继续演绎玄奘西行路上的悬案，将吴承恩笔下的神魔世界重新还原到历史现场，十万八千里漫漫取经路成为一个接一个的罪案现场。,#2d7a6b,悬疑

